RRT:

	plan time1: 0.418812 seconds
	0.520, -0.346, 0.587
	0.544, -0.346, 0.467
	0.572, -0.319, 0.344
	0.598, -0.266, 0.225
	0.616, -0.190, 0.116
	0.622, -0.097, 0.023
	0.615, 0.006, -0.054
	0.591, 0.116, -0.116
	0.553, 0.217, -0.156
	0.499, 0.317, -0.183
	0.431, 0.409, -0.193
	0.352, 0.490, -0.186
	0.267, 0.558, -0.163
	0.186, 0.607, -0.128
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127


PRM:

	plan1time: 0.38164
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.260, 0.563, -0.160
	0.348, 0.494, -0.185
	0.427, 0.414, -0.193
	0.496, 0.323, -0.184
	0.550, 0.223, -0.158
	0.588, 0.123, -0.119
	0.613, 0.016, -0.061
	0.622, -0.087, 0.014
	0.617, -0.182, 0.107
	0.600, -0.259, 0.214
	0.575, -0.315, 0.332
	0.547, -0.345, 0.456
	0.522, -0.347, 0.576
	0.505, -0.323, 0.686
	0.500, -0.280, 0.776
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812


	plan2time: 0.279928
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.500, -0.291, 0.758
	0.508, -0.330, 0.664
	0.527, -0.349, 0.549
	0.553, -0.341, 0.427
	0.581, -0.305, 0.305
	0.605, -0.243, 0.188
	0.619, -0.161, 0.084
	0.622, -0.064, -0.004
	0.609, 0.040, -0.076
	0.581, 0.147, -0.130
	0.537, 0.250, -0.166
	0.478, 0.348, -0.188
	0.407, 0.437, -0.192
	0.324, 0.514, -0.180
	0.235, 0.579, -0.150
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127


	plan3time: 0.226149
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.186, 0.608, -0.127
	0.266, 0.558, -0.163
	0.353, 0.489, -0.186
